1408	1610	915	988
1974	721	292	111
92	721	805	765
1626	307	1371	1342
929	1750	326	932
1144	790	1812	387
1276	1555	1917	586
453	1132	32	1555
1275	700	758	998
1844	214	1804	1593
1736	1410	363	477
1502	1603	1456	1449
1807	186	400	1304
178	1943	1237	1119
1864	936	197	262
1004	1655	215	1287
120	317	1362	612
1579	728	740	1990
725	499	933	169
283	527	816	856
951	426	107	455
617	1374	771	931
653	710	1421	267
1820	1056	1056	253
1488	1967	164	292
836	1087	1170	1720
1421	751	356	383
987	638	1654	91
1659	371	26	754
1887	1283	996	1007
476	637	120	432
1303	326	341	159
1091	1565	1559	1004
1496	1965	1472	710
1176	1380	1892	1091
1917	574	335	1809
1844	679	926	83
1915	323	199	1367
1561	1518	1357	1568
276	1924	945	1905
130	924	81	1741
1514	439	269	1805
1389	386	1324	408
123	1345	979	673
659	274	1868	539
851	1922	1201	319
988	1788	1622	1612
736	1226	254	1920
589	216	452	935
757	1300	576	137
1583	779	1869	1180
52	1185	1505	684
1536	1332	510	158
231	1877	798	1321
934	764	1800	1532
1633	213	795	153
927	932	632	1142
1683	262	103	161
1771	458	1396	1911
311	1154	634	791
817	1983	1462	334
121	1294	1539	385
1204	651	147	286
949	701	1646	1532
1471	841	1891	1394
254	1419	902	606
1983	173	44	76
1783	94	1935	1353
1153	1138	1353	1625
848	600	763	1868
456	1424	835	485
404	916	925	1744
608	1829	1352	836
348	1164	1983	605
1308	1614	318	163
1401	372	592	333
1154	260	1055	661
654	1923	1112	284
48	901	192	1988
372	363	1863	1772
1747	1597	1244	44
993	1507	1438	965
578	410	1071	1511
1219	1396	846	104
1982	1523	1854	1738
652	327	861	1513
1879	614	56	628
519	289	971	1091
1406	830	1428	1459
1487	854	1605	1906
1797	1714	362	1003
1328	1172	1709	76
502	560	1180	985
108	1612	162	1015
1999	988	1013	932
1089	665	1412	100
1379	1066	1355	251
1639	878	1867	1861
16	904	1185	404
1690	250	1336	1793
1059	518	602	1848
1111	501	943	163
1159	307	1590	1522
1407	415	934	1920
643	1629	571	1116
1776	1763	201	443
555	903	356	1731
813	1360	633	445
687	530	337	307
1841	1406	662	602
1809	1588	1576	907
319	994	286	714
737	1964	909	460
445	1484	542	320
1931	1504	1521	671
977	915	634	1547
1551	1015	426	591
735	429	271	791
1164	293	1600	1723
1505	1697	1591	381
1210	1999	254	1994
410	399	582	201
422	1094	748	787
1499	916	975	298
1526	142	710	1587
1005	1621	1677	1745
64	1553	391	671
1660	1511	814	1512
276	1207	1669	1524
1482	1032	273	1065
1513	117	321	159
770	283	1389	825
501	247	1200	1806
273	201	496	363
517	326	223	221
800	1124	1919	481
1735	1417	367	1937
878	1549	397	542
632	1885	730	678
942	1366	974	107
1918	1285	827	874
47	374	1353	402
1774	112	120	1629
595	360	1851	1863
485	1311	1185	722
520	564	40	926
1106	1908	1890	597
293	917	903	1704
838	986	1551	652
990	766	1538	1004
770	1830	1582	525
